1, 38160, Note_on_c, 10, 72, 91
1, 38880, Note_on_c, 10, 72, 0
1, 39000, Note_on_c, 1, 72, 0
1, 44655, Note_on_c, 15, 72, 0
1, 44880, Note_on_c, 1, 84, 105
1, 44880, Note_on_c, 10, 84, 91
1, 44880, Note_on_c, 15, 84, 30
1, 45360, Note_on_c, 10, 84, 0
1, 45420, Note_on_c, 1, 84, 0
1, 45540, Note_on_c, 1, 84, 105
1, 45540, Note_on_c, 10, 84, 91
1, 45960, Note_on_c, 10, 84, 0
1, 46020, Note_on_c, 1, 84, 0
1, 46020, Note_on_c, 15, 84, 0
1, 46085, Note_on_c, 1, 79, 105
1, 46085, Note_on_c, 10, 79, 91
1, 46085, Note_on_c, 15, 79, 30
1, 46445, Note_on_c, 10, 79, 0
1, 46505, Note_on_c, 1, 79, 0
1, 46670, Note_on_c, 1, 79, 105
1, 46670, Note_on_c, 10, 79, 91
1, 47030, Note_on_c, 10, 79, 0
1, 47090, Note_on_c, 1, 79, 0
1, 47225, Note_on_c, 15, 79, 0
1, 47380, Note_on_c, 1, 72, 105
1, 47380, Note_on_c, 10, 72, 91
1, 47380, Note_on_c, 15, 72, 30
1, 47800, Note_on_c, 10, 72, 0
1, 47920, Note_on_c, 1, 72, 0
1, 48120, Note_on_c, 1, 72, 105
1, 48120, Note_on_c, 10, 72, 91
1, 48660, Note_on_c, 10, 72, 0
1, 48720, Note_on_c, 1, 72, 0
1, 54600, Note_on_c, 15, 72, 0
1, 54720, Note_on_c, 1, 84, 105
1, 54720, Note_on_c, 10, 84, 91
1, 55020, Note_on_c, 1, 84, 0
1, 55020, Note_on_c, 10, 84, 0
1, 55140, Note_on_c, 1, 84, 105
1, 55140, Note_on_c, 10, 84, 91
1, 55380, Note_on_c, 1, 84, 0
1, 55385, Note_on_c, 10, 84, 0
1, 55680, Note_on_c, 1, 79, 105
1, 55680, Note_on_c, 10, 79, 91
1, 55980, Note_on_c, 1, 79, 0
1, 55980, Note_on_c, 10, 79, 0
1, 56100, Note_on_c, 1, 79, 105
1, 56100, Note_on_c, 10, 79, 91
1, 56400, Note_on_c, 1, 79, 0
1, 56400, Note_on_c, 10, 79, 0
1, 56640, Note_on_c, 1, 72, 105
1, 56640, Note_on_c, 10, 72, 91
1, 56940, Note_on_c, 1, 72, 0
1, 56940, Note_on_c, 10, 72, 0
1, 57060, Note_on_c, 1, 72, 105
1, 57060, Note_on_c, 10, 72, 91
1, 57360, Note_on_c, 1, 72, 0
1, 57360, Note_on_c, 10, 72, 0
1, 57600, Note_on_c, 1, 84, 105
1, 57600, Note_on_c, 7, 24, 76
1, 57600, Note_on_c, 10, 84, 91
1, 57900, Note_on_c, 1, 84, 0
1, 57900, Note_on_c, 10, 84, 0
1, 58020, Note_on_c, 1, 84, 105
1, 58020, Note_on_c, 10, 84, 91
1, 58265, Note_on_c, 1, 84, 0
1, 58265, Note_on_c, 10, 84, 0
1, 58560, Note_on_c, 1, 79, 105
1, 58560, Note_on_c, 10, 79, 91
1, 58860, Note_on_c, 1, 79, 0
1, 58860, Note_on_c, 10, 79, 0
1, 58980, Note_on_c, 1, 79, 105
1, 58980, Note_on_c, 10, 79, 91
1, 59280, Note_on_c, 1, 79, 0
1, 59280, Note_on_c, 10, 79, 0
1, 59520, Note_on_c, 1, 72, 105
1, 59520, Note_on_c, 10, 72, 91
1, 59820, Note_on_c, 1, 72, 0
1, 59820, Note_on_c, 10, 72, 0
1, 59940, Note_on_c, 1, 72, 105
1, 59940, Note_on_c, 10, 72, 91
1, 60240, Note_on_c, 1, 72, 0
1, 60240, Note_on_c, 10, 72, 0
1, 60480, Note_on_c, 1, 84, 105
1, 60480, Note_on_c, 6, 24, 0
1, 60480, Note_on_c, 10, 84, 91
1, 60780, Note_on_c, 1, 84, 0
1, 60780, Note_on_c, 10, 84, 0
1, 60900, Note_on_c, 1, 84, 105
1, 60900, Note_on_c, 10, 84, 91
1, 61145, Note_on_c, 1, 84, 0
1, 61145, Note_on_c, 10, 84, 0
1, 61440, Note_on_c, 1, 79, 105
1, 61440, Note_on_c, 10, 79, 91
1, 61740, Note_on_c, 1, 79, 0
1, 61740, Note_on_c, 10, 79, 0
1, 61860, Note_on_c, 1, 79, 105
1, 61860, Note_on_c, 10, 79, 91
1, 62160, Note_on_c, 1, 79, 0
1, 62160, Note_on_c, 10, 79, 0
1, 62400, Note_on_c, 1, 72, 105
1, 62400, Note_on_c, 10, 72, 91
1, 62700, Note_on_c, 1, 72, 0
1, 62700, Note_on_c, 10, 72, 0
1, 62820, Note_on_c, 1, 72, 105
1, 62820, Note_on_c, 10, 72, 91
1, 63120, Note_on_c, 1, 72, 0
1, 63120, Note_on_c, 10, 72, 0
1, 63360, Note_on_c, 1, 84, 105
1, 63360, Note_on_c, 10, 84, 91
1, 63660, Note_on_c, 1, 84, 0
1, 63660, Note_on_c, 10, 84, 0
1, 63780, Note_on_c, 1, 84, 105
1, 63780, Note_on_c, 10, 84, 91
1, 64025, Note_on_c, 1, 84, 0
1, 64025, Note_on_c, 10, 84, 0
1, 64320, Note_on_c, 1, 79, 105
1, 64320, Note_on_c, 10, 79, 91
1, 64620, Note_on_c, 1, 79, 0
1, 64620, Note_on_c, 10, 79, 0
1, 64740, Note_on_c, 1, 79, 105
1, 64740, Note_on_c, 10, 79, 91
1, 65040, Note_on_c, 1, 79, 0
1, 65040, Note_on_c, 10, 79, 0
1, 65280, Note_on_c, 1, 72, 105
1, 65280, Note_on_c, 10, 72, 91
1, 65580, Note_on_c, 1, 72, 0
1, 65580, Note_on_c, 10, 72, 0
1, 65700, Note_on_c, 1, 72, 105
1, 65700, Note_on_c, 10, 72, 91
1, 66000, Note_on_c, 1, 72, 0
1, 66000, Note_on_c, 10, 72, 0
1, 66240, Note_on_c, 1, 84, 105
1, 66240, Note_on_c, 10, 84, 91
1, 66540, Note_on_c, 1, 84, 0
1, 66540, Note_on_c, 10, 84, 0
1, 66660, Note_on_c, 1, 84, 105
1, 66660, Note_on_c, 10, 84, 91
1, 66905, Note_on_c, 1, 84, 0
1, 66905, Note_on_c, 10, 84, 0
1, 67200, Note_on_c, 1, 77, 105
1, 67200, Note_on_c, 10, 77, 91
1, 67500, Note_on_c, 1, 77, 0
1, 67500, Note_on_c, 10, 77, 0
1, 67620, Note_on_c, 1, 77, 105
1, 67620, Note_on_c, 10, 77, 91
1, 67920, Note_on_c, 1, 77, 0
1, 67920, Note_on_c, 10, 77, 0
1, 68160, Note_on_c, 1, 72, 105
1, 68160, Note_on_c, 10, 72, 91
1, 68460, Note_on_c, 1, 72, 0
1, 68460, Note_on_c, 10, 72, 0
1, 68580, Note_on_c, 1, 72, 105
1, 68580, Note_on_c, 10, 72, 91
1, 68880, Note_on_c, 1, 72, 0
1, 68880, Note_on_c, 10, 72, 0
1, 69120, Note_on_c, 1, 84, 105
1, 69120, Note_on_c, 10, 84, 91
1, 69420, Note_on_c, 1, 84, 0
1, 69420, Note_on_c, 10, 84, 0
1, 69540, Note_on_c, 1, 84, 105
1, 69540, Note_on_c, 10, 84, 91
1, 69785, Note_on_c, 1, 84, 0
1, 69785, Note_on_c, 10, 84, 0
1, 70080, Note_on_c, 1, 77, 105
1, 70080, Note_on_c, 10, 77, 91
1, 70380, Note_on_c, 1, 77, 0
1, 70380, Note_on_c, 10, 77, 0
1, 70500, Note_on_c, 1, 77, 105
1, 70500, Note_on_c, 10, 77, 91
1, 70800, Note_on_c, 1, 77, 0
1, 70800, Note_on_c, 10, 77, 0
1, 71040, Note_on_c, 1, 72, 105
1, 71040, Note_on_c, 10, 72, 91
1, 71340, Note_on_c, 1, 72, 0
1, 71340, Note_on_c, 10, 72, 0
1, 71460, Note_on_c, 1, 72, 105
1, 71460, Note_on_c, 10, 72, 91
1, 71760, Note_on_c, 1, 72, 0
1, 71760, Note_on_c, 10, 72, 0
1, 72000, Note_on_c, 1, 84, 105
1, 72000, Note_on_c, 10, 84, 91
1, 72300, Note_on_c, 1, 84, 0
1, 72300, Note_on_c, 10, 84, 0
1, 72420, Note_on_c, 1, 84, 105
1, 72420, Note_on_c, 10, 84, 91
1, 72665, Note_on_c, 1, 84, 0
1, 72665, Note_on_c, 10, 84, 0
1, 72960, Note_on_c, 1, 77, 105
1, 72960, Note_on_c, 10, 77, 91
1, 73260, Note_on_c, 1, 77, 0
1, 73260, Note_on_c, 10, 77, 0
1, 73380, Note_on_c, 1, 77, 105
1, 73380, Note_on_c, 10, 77, 91
1, 73680, Note_on_c, 1, 77, 0
1, 73680, Note_on_c, 10, 77, 0
1, 73920, Note_on_c, 1, 72, 105
1, 73920, Note_on_c, 10, 72, 91
1, 74220, Note_on_c, 1, 72, 0
1, 74220, Note_on_c, 10, 72, 0
1, 74340, Note_on_c, 1, 72, 105
1, 74340, Note_on_c, 10, 72, 91
1, 74640, Note_on_c, 1, 72, 0
1, 74640, Note_on_c, 10, 72, 0
1, 74880, Note_on_c, 1, 84, 105
1, 74880, Note_on_c, 10, 84, 91
1, 75180, Note_on_c, 1, 84, 0
1, 75180, Note_on_c, 10, 84, 0
1, 75300, Note_on_c, 1, 84, 105
1, 75300, Note_on_c, 10, 84, 91
1, 75545, Note_on_c, 1, 84, 0
1, 75545, Note_on_c, 10, 84, 0
1, 75840, Note_on_c, 1, 77, 105
1, 75840, Note_on_c, 10, 77, 91
1, 76140, Note_on_c, 1, 77, 0
1, 76140, Note_on_c, 10, 77, 0
1, 76260, Note_on_c, 1, 77, 105
1, 76260, Note_on_c, 10, 77, 91
1, 76560, Note_on_c, 1, 77, 0
1, 76560, Note_on_c, 10, 77, 0
1, 76800, Note_on_c, 1, 72, 105
1, 76800, Note_on_c, 10, 72, 91
1, 77100, Note_on_c, 1, 72, 0
1, 77100, Note_on_c, 10, 72, 0
1, 77220, Note_on_c, 1, 72, 105
1, 77220, Note_on_c, 10, 72, 91
1, 77520, Note_on_c, 1, 72, 0
1, 77520, Note_on_c, 10, 72, 0
1, 77760, Note_on_c, 1, 82, 105
1, 77760, Note_on_c, 10, 82, 91
1, 78060, Note_on_c, 1, 82, 0
1, 78060, Note_on_c, 10, 82, 0
1, 78180, Note_on_c, 1, 82, 105
1, 78180, Note_on_c, 10, 82, 91
1, 78425, Note_on_c, 1, 82, 0
1, 78425, Note_on_c, 10, 82, 0
1, 78720, Note_on_c, 1, 77, 105
1, 78720, Note_on_c, 10, 77, 91
1, 79020, Note_on_c, 1, 77, 0
1, 79020, Note_on_c, 10, 77, 0
1, 79140, Note_on_c, 1, 77, 105
1, 79140, Note_on_c, 10, 77, 91
1, 79440, Note_on_c, 1, 77, 0
1, 79440, Note_on_c, 10, 77, 0
1, 79680, Note_on_c, 1, 72, 105
1, 79680, Note_on_c, 10, 72, 91
1, 79980, Note_on_c, 1, 72, 0
1, 79980, Note_on_c, 10, 72, 0
1, 80100, Note_on_c, 1, 72, 105
1, 80100, Note_on_c, 10, 72, 91
1, 80400, Note_on_c, 1, 72, 0
1, 80400, Note_on_c, 10, 72, 0
1, 80640, Note_on_c, 1, 82, 105
1, 80640, Note_on_c, 10, 82, 91
1, 80940, Note_on_c, 1, 82, 0
1, 80940, Note_on_c, 10, 82, 0
1, 81060, Note_on_c, 1, 82, 105
1, 81060, Note_on_c, 10, 82, 91
1, 81305, Note_on_c, 1, 82, 0
1, 81305, Note_on_c, 10, 82, 0
1, 81600, Note_on_c, 1, 77, 105
1, 81600, Note_on_c, 10, 77, 91
1, 81900, Note_on_c, 1, 77, 0
1, 81900, Note_on_c, 10, 77, 0
1, 82020, Note_on_c, 1, 77, 105
1, 82020, Note_on_c, 10, 77, 91
1, 82320, Note_on_c, 1, 77, 0
1, 82320, Note_on_c, 10, 77, 0
1, 82560, Note_on_c, 1, 72, 105
1, 82560, Note_on_c, 10, 72, 91
1, 82860, Note_on_c, 1, 72, 0
1, 82860, Note_on_c, 10, 72, 0
1, 82980, Note_on_c, 1, 72, 105
1, 82980, Note_on_c, 10, 72, 91
1, 83280, Note_on_c, 1, 72, 0
1, 83280, Note_on_c, 10, 72, 0
1, 83520, Note_on_c, 1, 82, 105
1, 83520, Note_on_c, 10, 82, 91
1, 83820, Note_on_c, 1, 82, 0
1, 83820, Note_on_c, 10, 82, 0
1, 83940, Note_on_c, 1, 82, 105
1, 83940, Note_on_c, 10, 82, 91
1, 84185, Note_on_c, 1, 82, 0
1, 84185, Note_on_c, 10, 82, 0
1, 84480, Note_on_c, 1, 77, 105
1, 84480, Note_on_c, 10, 77, 91
1, 84780, Note_on_c, 1, 77, 0
1, 84780, Note_on_c, 10, 77, 0
1, 84900, Note_on_c, 1, 77, 105
1, 84900, Note_on_c, 10, 77, 91
1, 85200, Note_on_c, 1, 77, 0
1, 85200, Note_on_c, 10, 77, 0
1, 85440, Note_on_c, 1, 72, 105
1, 85440, Note_on_c, 10, 72, 91
1, 85740, Note_on_c, 1, 72, 0
1, 85740, Note_on_c, 10, 72, 0
1, 85860, Note_on_c, 1, 72, 105
1, 85860, Note_on_c, 10, 72, 91
1, 86160, Note_on_c, 1, 72, 0
1, 86160, Note_on_c, 10, 72, 0
1, 86400, Note_on_c, 1, 82, 105
1, 86400, Note_on_c, 10, 82, 91
1, 86700, Note_on_c, 1, 82, 0
1, 86700, Note_on_c, 10, 82, 0
1, 86820, Note_on_c, 1, 82, 105
1, 86820, Note_on_c, 10, 82, 91
1, 87065, Note_on_c, 1, 82, 0
1, 87065, Note_on_c, 10, 82, 0
1, 87360, Note_on_c, 1, 77, 105
1, 87360, Note_on_c, 10, 77, 91
1, 87660, Note_on_c, 1, 77, 0
1, 87660, Note_on_c, 10, 77, 0
1, 87780, Note_on_c, 1, 77, 105
1, 87780, Note_on_c, 10, 77, 91
1, 88080, Note_on_c, 1, 77, 0
1, 88080, Note_on_c, 10, 77, 0
1, 88320, Note_on_c, 1, 72, 105
1, 88320, Note_on_c, 10, 72, 91
1, 88620, Note_on_c, 1, 72, 0
1, 88620, Note_on_c, 10, 72, 0
1, 88740, Note_on_c, 1, 72, 105
1, 88740, Note_on_c, 10, 72, 91
1, 89040, Note_on_c, 1, 72, 0
1, 89040, Note_on_c, 10, 72, 0
1, 89280, Note_on_c, 1, 81, 105
1, 89280, Note_on_c, 10, 81, 91
1, 89580, Note_on_c, 1, 81, 0
1, 89580, Note_on_c, 10, 81, 0
1, 89700, Note_on_c, 1, 81, 105
1, 89700, Note_on_c, 10, 81, 91
1, 89945, Note_on_c, 1, 81, 0
1, 89945, Note_on_c, 10, 81, 0
1, 90240, Note_on_c, 1, 77, 105
1, 90240, Note_on_c, 10, 77, 91
1, 90540, Note_on_c, 1, 77, 0
1, 90540, Note_on_c, 10, 77, 0
1, 90660, Note_on_c, 1, 77, 105
1, 90660, Note_on_c, 10, 77, 91
1, 90960, Note_on_c, 1, 77, 0
1, 90960, Note_on_c, 10, 77, 0
1, 91200, Note_on_c, 1, 72, 105
1, 91200, Note_on_c, 10, 72, 91
1, 91500, Note_on_c, 1, 72, 0
1, 91500, Note_on_c, 10, 72, 0
1, 91620, Note_on_c, 1, 72, 105
1, 91620, Note_on_c, 10, 72, 91
1, 91920, Note_on_c, 1, 72, 0
1, 91920, Note_on_c, 10, 72, 0
1, 92160, Note_on_c, 1, 81, 105
1, 92160, Note_on_c, 10, 81, 91
1, 92460, Note_on_c, 1, 81, 0
1, 92460, Note_on_c, 10, 81, 0
1, 92580, Note_on_c, 1, 81, 105
1, 92580, Note_on_c, 10, 81, 91
1, 92825, Note_on_c, 1, 81, 0
1, 92825, Note_on_c, 10, 81, 0
1, 93120, Note_on_c, 1, 77, 105
1, 93120, Note_on_c, 10, 77, 91
1, 93420, Note_on_c, 1, 77, 0
1, 93420, Note_on_c, 10, 77, 0
1, 93540, Note_on_c, 1, 77, 105
1, 93540, Note_on_c, 10, 77, 91
1, 93840, Note_on_c, 1, 77, 0
1, 93840, Note_on_c, 10, 77, 0
1, 94080, Note_on_c, 1, 72, 105
1, 94080, Note_on_c, 10, 72, 91
1, 94380, Note_on_c, 1, 72, 0
1, 94380, Note_on_c, 10, 72, 0
